Kafka Producer Application Started ... 
Input Data:  {'action_id': 0, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:15.698886'}
Input Data:  {'action_id': 11, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:37.746972'}
Input Data:  {'action_id': 12, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:39.752263'}
Input Data:  {'action_id': 13, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:41.753434'}
Input Data:  {'action_id': 14, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:43.754596'}
Input Data:  {'action_id': 15, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:45.757364'}
Input Data:  {'action_id': 16, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:47.758912'}
Input Data:  {'action_id': 17, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:49.764830'}
Input Data:  {'action_id': 18, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:51.768983'}
Input Data:  {'action_id': 19, 'action_name': 'POST', 'action_reference_id': 1275276452465, 'user_id': 'Abdul_Kalam_abdul_kalam1@gmail.com', 'user_name': 'Abdul Kalam', 'group_id': 100045, 'group_name': 'My Job Status', 'group_description': 'Group in which we can post anything about our job.', 'community_id': 200056, 'communtiy_name': 'Job Community', 'community_description': 'Community in which there are multiple groups for job search, sharing information about jobs etc.', 'action_data_id': '1TEXT', 'action_description': 'POST_TEXT', 'action_data': 'Happy to share that Im joining Google as Software Engineer !!!!', 'timestamp': '2021-09-01 09:21:53.774997'}
Kafka Producer Application Completed. 
